bill_id,bill_number,sponsor_name,chamber_type,sponsor_party,sponsor_state,sponsor_constituency,is_primary
78245a05-46a5-45cb-b4c0-cb128dccc558,HB 37,Hon Francis Ejiroghene Waive,House,APC,Delta,"Ughelli North, Ughelli South/Udu",Yes
8ebc5bec-10ea-4156-8a81-53519ad0f36e,HB 218,Hon Tasir Olawale Raji,House,APC,Lagos,Epe,Yes
9af22dec-bad9-491e-af52-446d00c365f8,HB 637,Useni Mark Bako,House,APC,Taraba,Takum/Donga/Ussa,Yes
d3a42751-1482-4128-8af0-1a6716876938,HB 757,Hon Emmanuel Effiong Ukpong-udo,House,PDP,Akwa Ibom,Ikono/Ini,Yes
23625421-9b9a-48f5-8211-87d4f73580d6,HB 1597,Hon Ahmed Idris Wase,House,APC,Plateau,Wase,Yes
2a022a0f-93a6-4974-ab2e-d912d39dbdc3,SB 341,Sen. Mohammed Sani Musa,Senate,APC,Niger,,Yes
39c139ab-0eac-4141-9306-66dffbdb5172,HB 1591,Murphy Osaro Omoruyi,House,LP,Edo,Egor/Ikpoba-Okha,Yes
5122817e-f5f7-4fc0-95d0-15cbee719c9f,HB 1462,Hon Abubakar Hassan Fulata,House,APC,Jigawa,Birniwa Guri/Kirikasamma,Yes
5cc65c62-d1df-4959-9a81-4617a119a1b4,HB 1134,Hon Abiodun James Faleke,House,APC,Lagos,Ikeja,Yes
5d604ce5-d734-436d-a678-86b627716867,SB 380,Sen. Jibrin Isah,Senate,APC,Kogi,,Yes
8b811a15-2f62-4559-b2b0-92f2250e65b6,HB 1169,Hon Benedict Etanabene,House,LP,Delta,Okpe/Sapele/Uvwie,Yes
8d380cf7-9e5b-49a1-ad2c-20183ca23e79,HB 1315,Hon Benedict Etanabene,House,LP,Delta,Okpe/Sapele/Uvwie,Yes
96e80f2a-7037-4f4f-972e-76789136dc21,HB 1133,Hon Abiodun James Faleke,House,APC,Lagos,Ikeja,Yes
b0546e9f-11f4-468b-9edd-78b37cfaee46,HB 1273,Ali Isa,House,PDP,Gombe,Balanga/Billiri,Yes
bbe08115-a538-41dc-a672-b5ffa4bdd886,SB 630,Sen. Binos Dauda Yaroe,Senate,ADC,Adamawa,,Yes
cb1ed8e4-ec44-4da4-a00a-c50518ef9c29,SB 588,Sen. Orji Uzor Kalu,Senate,APC,Abia,,Yes
cc66fd46-423f-4924-a57d-7e1373755d9d,SB 576,Konbowel Benson Friday,Senate,PDP,Bayelsa,,Yes
020589f0-acd6-4b46-bee6-516e1f09a5d7,SB 701,Sen. Saliu Mustapha,Senate,APC,Kwara,,Yes
efb8c143-675e-4a51-8a67-2e5af0e2967d,HB 2126,Clement Jimbo,House,APC,Akwa Ibom,Abak/Etim Ekpo/Ika,Yes
f0678456-a559-407a-a18d-3da55d1714e2,HB 2607,Hon Benedict Etanabene,House,LP,Delta,Okpe/Sapele/Uvwie,Yes
10756106-f7ec-488b-8248-aa41f1e175f8,HB 1513,Hon Ugochinyere Onyinye Ikeagwuonu,House,PDP,Imo,Ideato North/Ideato South,Yes
a5a75e6d-87fa-4e02-a4fe-f1fa24c5ca76,SB 412,"Sen. Yar’adua, Abdulaziz Musa",Senate,APC,Katsina,,Yes
dac45c0c-38d8-4941-aaf6-3dec3cbf9d61,SB 458,"Sen. Emmanuel, Udende Menga",Senate,APC,Benue,,Yes
06f5b883-640e-401a-b2ce-2d1e591907cb,HB 1510,Hon Ugochinyere Onyinye Ikeagwuonu,House,PDP,Imo,Ideato North/Ideato South,Yes
fbc7a09f-cecb-4485-b288-b19775de63de,HB 2479,Hon Adebayo Olusegun Balogun,House,APC,Lagos,Ibeju Lekki,Yes
98c4c776-9590-458d-9659-9bf80ff4d208,HB 2070,Hon Kwamoti Bitrus Laori,House,PDP,Adamawa,Demsa/Numan/Lamurde,Yes
b406176a-4759-4fdb-9a41-56ed29831b13,SB 903,Simon Bako Lalong,Senate,APC,Plateau,,Yes
ba04c3e1-7cd9-4db1-b0ec-f582b42b0f31,SB 740,Sen. Saliu Mustapha,Senate,APC,Kwara,,Yes
2c8dc78b-0099-4d2d-9f76-9471e2dae91f,HB 923,Hon Kingsley Chinda,House,PDP,Rivers,Obio/Akpor,Yes
197f421a-30b0-4414-a4da-d1f9b3789462,HB 38,Hon Babajimi Adegoke Benson,House,APC,Lagos,Ikorodu,Yes
f8b582e0-f3b6-4107-bf7b-c5db808e7e55,SB 856,Sen. Orji Uzor Kalu,Senate,APC,Abia,,Yes
6d767717-dad6-4294-8406-9170eddd9fca,HB 445,Hon Miriam Onuoha,House,APC,Imo,Isiala Mbano/Okigwe/Onuimo,Yes
89cc49a2-812d-495a-9d06-e2788dd102a8,SB 228,"Sen. Banigo, Ipalibo Harry",Senate,PDP,Rivers,,Yes
52980e4e-2936-4943-8c5e-e8469bfd1ad1,HB 1485,Hon Anthony Adebayo Adepoju,House,PDP,Oyo,Ibarapa Central/Ibarapa North,Yes
39314afc-1569-4d9b-a7e7-dc5fc7e0c34b,HB 2138,Hon. Victor Obuzor,House,PDP,Rivers,Ahoada West/Ogba Egbema,Yes
9c683e32-26cd-4592-abbd-f21d442dbcd3,SB 862,Sen. Enyinnaya Harcourt Abaribe,Senate,ADC,Abia,,Yes
2ecf12c3-1a93-4b26-afa5-55f290da5455,SB 94,Sen. Saliu Mustapha,Senate,APC,Kwara,,Yes
be91185f-3ca7-490a-8e26-761e994355bf,SB 73,Sen. Mohammed Ali Ndume,Senate,APC,Borno,,Yes
64d65925-846a-45da-b5f0-744b37926259,HB 976,Hon Victor Abang,House,APC,Cross River,Boki/Ikom,Yes
47d9cafd-7ef7-4826-8d53-f15609dd7dd8,HB 2139,Hon Nnolim John Nnaji,House,APC,Enugu,Nkanu East/Nkanu West,Yes
47d9cafd-7ef7-4826-8d53-f15609dd7dd8,HB 2139,Hon Abdulmalik Zubairu,House,APC,Zamfara,Bungudu/Maru,No
47d9cafd-7ef7-4826-8d53-f15609dd7dd8,HB 2139,Garba Ibrahim Muhammad,House,NNPP,Kano,Gwale,No
47d9cafd-7ef7-4826-8d53-f15609dd7dd8,HB 2139,Hon Julius Ihonvbere,House,APC,Edo,Owan East/Owan West,No
47d9cafd-7ef7-4826-8d53-f15609dd7dd8,HB 2139,Dalyop Chollom Fom,House,LP,Plateau,Barkin Ladi/Riyom,No
47d9cafd-7ef7-4826-8d53-f15609dd7dd8,HB 2139,Hon Aminu Jaji,House,APC,Zamfara,Kaura-Namoda/Birnin Magaji,No
47d9cafd-7ef7-4826-8d53-f15609dd7dd8,HB 2139,Chimaobi Sam Atu,House,LP,Enugu,Enugu North/Enugu South,No
47d9cafd-7ef7-4826-8d53-f15609dd7dd8,HB 2139,Hon Ahmed Doro Yusuf,House,APC,Katsina,Bindawa/Mani,No
47d9cafd-7ef7-4826-8d53-f15609dd7dd8,HB 2139,John Moenwul Dafaan,House,APC,Plateau,Mikang/Qua’an/Pan/Shedam,No
47d9cafd-7ef7-4826-8d53-f15609dd7dd8,HB 2139,Hon Paul Nnamchi,House,LP,Enugu,Enugu East/Isi Uzo,No
47d9cafd-7ef7-4826-8d53-f15609dd7dd8,HB 2139,Hon. Alfred Ajang Iliya,House,APC,Plateau,Jos South/Jos East,No
47d9cafd-7ef7-4826-8d53-f15609dd7dd8,HB 2139,Hon Inuwa Garba,House,PDP,Gombe,Yamaltu/Deba,No
47d9cafd-7ef7-4826-8d53-f15609dd7dd8,HB 2139,Hon. Sadiq Ango Abdullahi,House,APC,Kaduna,Sabon Gari,No
eefd1bb9-9a2f-41bc-8797-b236d7880549,HB 393,Hon Gagdi Adamu Yusuf,House,APC,Plateau,Kanke/Pankshin/Kanam,Yes
a64ebc6f-16f0-458d-87df-830a3a94f027,HB 166,Hon Adewale Hameed,House,APC,Lagos,Agege,Yes
0e4997a2-9b2b-48d9-b386-4daf0a3e95c5,HB 83,Hon Obinna Aguocha,House,LP,Abia,Umuahia North/ Umuahia South/ Ikwuano,Yes
ff4e860b-4289-49d4-a2e2-442c574d87a0,SB 557,"Oluwole, Fasuyi Cyril",Senate,APC,Ekiti,,Yes
2352a843-03e9-4296-a522-4def248e34e9,HB 1085,Terseer Ugbor,House,APC,Benue,Kwande/Ushongo,Yes
f55d394a-d758-4c3e-9670-517d87f174c8,HB 2655,Hon Adelegbe Emmanuel Oluwatimehin,House,APC,Ondo,Owo/Ose,Yes
befaf6b5-186b-4c54-9ae8-66c687c15d37,HB 1048,Moshood Olanrewaju Oshun,House,APC,Lagos,Lagos Mainland,Yes
ddc16571-c4c1-450a-828c-c474356f1865,SB 574,Simon Bako Lalong,Senate,APC,Plateau,,Yes
39a54fef-5caf-4f18-846d-19fca183594b,HB 2490,Hon Abdussamad Ibrahim Dasuki,House,PDP,Sokoto,Kebbe/Tambuwal,Yes
eccab6b3-5e66-49c4-a14b-71ff0a2b5b76,HB 1265,Hon Benjamin Kalu,House,APC,Abia,Bende,Yes
db510bb7-2ed4-430e-8ea9-0d6920db1e28,HB 20,Hon Tajudeen Abbas,House,APC,Kaduna,Zaria,Yes
66d272cc-4f91-42d1-aa41-81ab688810c9,HB 340,Hon Sesi Whingan,House,APC,Lagos,Badagry,Yes
67a357c1-bea7-46d0-8cd8-cd400da52f60,SB 04,Sen. Mohammed Tahir Monguno,Senate,APC,Borno,,Yes
b8a9d2bf-74b2-460d-8366-d210fe3f6e35,HB 386,Hon Gagdi Adamu Yusuf,House,APC,Plateau,Kanke/Pankshin/Kanam,Yes
